Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Perceptions of Corruption,Generosity,year
Denmark,Western Europe,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2016
Switzerland,Western Europe,7.5089999999999995,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2016
Iceland,Western Europe,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2016
Norway,Western Europe,7.497999999999999,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2016
Finland,Western Europe,7.412999999999999,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2016
Canada,North America,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,2016
Netherlands,Western Europe,7.3389999999999995,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2016
New Zealand,Australia and New Zealand,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2016
Australia,Australia and New Zealand,7.313,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2016
Sweden,Western Europe,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2016
Israel,Middle East and Northern Africa,7.267,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288,2016
Austria,Western Europe,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2016
United States,North America,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997,2016
Costa Rica,Latin America and Caribbean,7.087000000000001,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553,2016
Puerto Rico,Latin America and Caribbean,7.039,1.35943,1.08113,0.77758,0.46823000000000004,0.12275,0.22202,2016
Germany,Western Europe,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,2016
Brazil,Latin America and Caribbean,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,2016
Belgium,Western Europe,6.928999999999999,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,2016
Ireland,Western Europe,6.907,1.4834100000000001,1.16157,0.81455,0.54008,0.29754,0.44963000000000003,2016
Luxembourg,Western Europe,6.871,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2016
Mexico,Latin America and Caribbean,6.778,1.1150799999999998,0.7146,0.71143,0.37709000000000004,0.18355,0.11735,2016
Singapore,Southeastern Asia,6.739,1.64555,0.8675799999999999,0.94719,0.4877,0.46986999999999995,0.32706,2016
United Kingdom,Western Europe,6.725,1.40283,1.0867200000000001,0.80991,0.50036,0.27399,0.50156,2016
Chile,Latin America and Caribbean,6.705,1.2167,0.9058700000000001,0.8188300000000001,0.37789,0.11450999999999999,0.31595,2016
Panama,Latin America and Caribbean,6.7010000000000005,1.18306,0.9891200000000001,0.70835,0.48927,0.08423,0.2418,2016
Argentina,Latin America and Caribbean,6.65,1.15137,1.0661200000000002,0.69711,0.42283999999999994,0.07296,0.10989000000000002,2016
Czech Republic,Central and Eastern Europe,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2016
United Arab Emirates,Middle East and Northern Africa,6.5729999999999995,1.57352,0.8711399999999999,0.72993,0.56215,0.35561,0.26591,2016
