Country,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,year,Region
Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,2019,Western Europe
Denmark,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,2019,Western Europe
Norway,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,2019,Western Europe
Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,2019,Western Europe
Netherlands,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,2019,Western Europe
Switzerland,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,2019,Western Europe
Sweden,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,2019,Western Europe
New Zealand,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,2019,Australia and New Zealand
Canada,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,0.308,2019,North America
Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,2019,Western Europe
Australia,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,0.29,2019,Australia and New Zealand
Costa Rica,7.167000000000001,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.09300000000000001,2019,Latin America and Caribbean
Israel,7.138999999999999,1.276,1.455,1.0290000000000001,0.371,0.261,0.08199999999999999,2019,Middle East and Northern Africa
Luxembourg,7.09,1.609,1.479,1.012,0.526,0.19399999999999998,0.316,2019,Western Europe
United Kingdom,7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.348,0.278,2019,Western Europe
Ireland,7.021,1.499,1.5530000000000002,0.9990000000000001,0.516,0.298,0.31,2019,Western Europe
Germany,6.985,1.3730000000000002,1.454,0.987,0.495,0.261,0.265,2019,Western Europe
Belgium,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.16,0.21,2019,Western Europe
United States,6.892,1.433,1.4569999999999999,0.8740000000000001,0.45399999999999996,0.28,0.128,2019,North America
Czech Republic,6.852,1.2690000000000001,1.4869999999999999,0.92,0.457,0.046,0.036000000000000004,2019,Central and Eastern Europe
United Arab Emirates,6.825,1.5030000000000001,1.31,0.825,0.598,0.262,0.182,2019,Middle East and Northern Africa
Malta,6.726,1.3,1.52,0.9990000000000001,0.564,0.375,0.151,2019,Western Europe
Mexico,6.595,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073,2019,Latin America and Caribbean
France,6.5920000000000005,1.324,1.472,1.045,0.436,0.111,0.183,2019,Western Europe
Taiwan,6.446000000000001,1.368,1.43,0.914,0.35100000000000003,0.242,0.09699999999999999,2019,Eastern Asia
Chile,6.444,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994,2019,Latin America and Caribbean
Guatemala,6.436,0.8,1.2690000000000001,0.746,0.535,0.175,0.078,2019,Latin America and Caribbean
Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2019,Middle East and Northern Africa
Qatar,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,0.16699999999999998,2019,Middle East and Northern Africa
Spain,6.354,1.286,1.484,1.062,0.36200000000000004,0.153,0.079,2019,Western Europe
Panama,6.321000000000001,1.149,1.442,0.91,0.516,0.109,0.054000000000000006,2019,Latin America and Caribbean
Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,2019,Latin America and Caribbean
Uruguay,6.292999999999999,1.124,1.465,0.8909999999999999,0.523,0.127,0.15,2019,Latin America and Caribbean
Singapore,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.271,0.45299999999999996,2019,Southeastern Asia
El Salvador,6.252999999999999,0.794,1.242,0.789,0.43,0.09300000000000001,0.07400000000000001,2019,Latin America and Caribbean
Italy,6.223,1.294,1.4880000000000002,1.0390000000000001,0.231,0.158,0.03,2019,Western Europe
Bahrain,6.199,1.3619999999999999,1.368,0.871,0.536,0.255,0.11,2019,Middle East and Northern Africa
Slovakia,6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,0.121,0.013999999999999999,2019,Central and Eastern Europe
Trinidad and Tobago,6.192,1.2309999999999999,1.4769999999999999,0.713,0.489,0.185,0.016,2019,Latin America and Caribbean
Poland,6.182,1.206,1.4380000000000002,0.884,0.483,0.11699999999999999,0.05,2019,Central and Eastern Europe
Uzbekistan,6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,0.322,0.24,2019,Central and Eastern Europe
Lithuania,6.149,1.238,1.515,0.818,0.29100000000000004,0.043,0.042,2019,Central and Eastern Europe
